stid,station_name,lat,lon,elev,begints,endts,iem_network
SBAA,Conceicao Do Araguaia,-8.25,-49.2833,199,1973-01-01 00:00,2023-03-11 00:00,BR__ASOS
SBAF,Rio De Janeiro,-22.8751,-43.3847,34,1950-12-31 00:00,,BR__ASOS
SBAM,Amapa,2.0775,-50.8582,10,1943-05-31 00:00,2012-01-20 00:00,BR__ASOS
SBAN,Anapolis,-16.2292,-48.9643,1137,1977-02-04 00:00,,BR__ASOS
SBAQ,Araracuara,-21.812,-48.133,708,2007-07-17 00:00,2020-03-31 00:00,BR__ASOS
SBAR,Aracaju,-10.984,-37.0703,9,1983-03-31 00:00,,BR__ASOS
SBAS,ASSIS,-22.6386,-50.4559,564,2011-08-22 00:00,2012-01-20 00:00,BR__ASOS
SBAT,Alta Floresta,-9.8661,-56.1062,288,1988-06-01 00:00,,BR__ASOS
SBAU,Aracatuba,-21.1413,-50.4247,415,2009-11-19 00:00,,BR__ASOS
SBAX,Araxa,-19.5632,-46.9604,998,2011-08-22 00:00,,BR__ASOS
SBBA,BOCADOACRE,-8.72,-67.32,112,1973-01-01 00:00,2012-01-20 00:00,BR__ASOS
SBBC,BENJAMIN CONSTANT,-4.3833,-70.0333,65,1973-01-01 00:00,2012-01-20 00:00,BR__ASOS
SBBE,Belem,-1.3792,-48.4763,16,1942-09-30 00:00,,BR__ASOS
SBBG,Bage,-31.35,-54.1167,180,1961-01-01 00:00,,BR__ASOS
SBBH,Belo Horizonte,-19.85,-43.95,785,1950-12-31 00:00,,BR__ASOS
SBBI,Curitiba,-25.4033,-49.2318,926,1931-01-01 00:00,,BR__ASOS
SBBQ,Barbacena,-21.25,-43.7667,1171,1972-12-31 00:00,,BR__ASOS
SBBR,Brasilia,-15.8667,-47.9333,1061,1960-12-31 00:00,,BR__ASOS
SBBT,Barretos,-20.5845,-48.5941,579,2011-08-22 00:00,2022-03-09 00:00,BR__ASOS
SBBU,Bauru,-22.345,-49.0538,590,1972-12-31 00:00,,BR__ASOS
SBBV,Boa Vista,2.8463,-60.6901,140,1973-01-01 00:00,,BR__ASOS
SBBW,Barra Do Garcas,-15.8613,-52.3889,350,1986-11-01 00:00,,BR__ASOS
SBBZ,Buzios,-22.771,-41.9629,3,2011-08-22 00:00,2012-01-20 00:00,BR__ASOS
SBCA,Cascavel,-25,-53.5,754,2007-07-17 00:00,,BR__ASOS
SBCB,Cabo Frio,-22.9217,-42.0743,4,1972-12-31 00:00,,BR__ASOS
SBCC,Itaituba,-9.3339,-54.9654,536,1961-01-01 00:00,,BR__ASOS
SBCF,Belo Horizonte,-19.9345,-43.9356,828,1931-01-01 00:00,,BR__ASOS
SBCG,Campo Grande,-20.4687,-54.6725,567,1936-08-24 00:00,,BR__ASOS
SBCH,Chapeco,-27.1167,-52.6167,650,1989-11-17 00:00,,BR__ASOS
SBCI,Carolina,-7.3204,-47.4587,183,1938-07-19 00:00,2021-09-17 00:00,BR__ASOS
SBCJ,Parauapebas,-6.1178,-50.0035,621,1987-01-17 00:00,,BR__ASOS
SBCM,Criciuma,-28.7258,-49.4247,28,2007-07-17 00:00,2017-07-19 00:00,BR__ASOS
SBCO,Porto Alegre,-29.9455,-51.1439,7.2924833,1931-01-01 00:00,,BR__ASOS
SBCP,Campos,-21.75,-41.3333,11,1931-01-01 00:00,,BR__ASOS
SBCR,Corumba,-19.0833,-57.5,141,1931-01-01 00:00,,BR__ASOS
SBCT,Curitiba,-25.5285,-49.1758,908,1960-12-31 00:00,,BR__ASOS
SBCV,Caravelas,-17.6333,-39.25,4,1960-12-31 00:00,2012-01-20 00:00,BR__ASOS
SBCX,Caxias Do Sul,-29.1667,-51.2,754,1989-11-17 00:00,,BR__ASOS
SBCY,Cuiaba,-15.65,-56.1,182,1973-01-01 00:00,,BR__ASOS
SBCZ,Cruzeiro do Sul,-7.6333,-72.6667,170,1974-02-01 00:00,,BR__ASOS
SBDN,President Prudente,-22.1167,-51.3833,435,1973-01-01 00:00,,BR__ASOS
SBEG,Manaus,-3.0386,-60.0497,2,1977-04-30 00:00,,BR__ASOS
SBEK,Jacare-acanga,-6.2667,-57.7333,98,1973-01-01 00:00,2022-01-31 00:00,BR__ASOS
SBES,Sao Pedro Da Aldeia,-22.8129,-42.0926,11,1973-01-01 00:00,,BR__ASOS
SBFI,Foz Do Iguacu,-25.5167,-54.5833,243,1953-03-01 00:00,,BR__ASOS
SBFL,Florianopolis,-27.6705,-48.5472,5,1972-12-31 00:00,,BR__ASOS
SBFN,Fernando Do Noronha,-3.8549,-32.4233,56,1931-01-01 00:00,,BR__ASOS
SBFS,CMP D GOITACAZES,-22.0294,-41.07,3,2011-08-22 00:00,,BR__ASOS
SBFZ,Fortaleza,-3.7763,-38.5326,25,1936-08-24 00:00,,BR__ASOS
SBGA,GAMA,-16.05,-48.05,700,1990-03-12 00:00,2012-01-20 00:00,BR__ASOS
SBGL,Rio De Janeiro,-22.8089,-43.2436,6,1931-01-01 00:00,,BR__ASOS
SBGM,Guajara-mirim,-10.7864,-65.2848,146,2003-04-06 00:00,,BR__ASOS
SBGO,Goiania,-16.632,-49.2207,747,1972-12-31 00:00,,BR__ASOS
SBGR,Sao Paulo,-23.4321,-46.4695,750,2001-07-21 00:00,,BR__ASOS
SBGU,Guarapuava,-25.3875,-51.5202,1065,2007-07-17 00:00,2015-07-29 00:00,BR__ASOS
SBGW,Guaratingueta,-22.7916,-45.2048,533,1977-05-04 00:00,,BR__ASOS
SBHT,Altamira,-3.2,-52.2,74,1973-01-01 00:00,,BR__ASOS
SBIC,Itaituba,-3.1273,-58.4812,43,1973-01-01 00:00,2020-08-05 00:00,BR__ASOS
SBIH,Itaituba,-4.2423,-56.0007,34,1992-10-01 00:00,,BR__ASOS
SBIL,Ilheus,-14.816,-39.0332,5,1983-04-01 00:00,,BR__ASOS
SBIP,Ipatinga,-19.4707,-42.4876,239,2011-08-22 00:00,,BR__ASOS
SBIT,Itumbiara,-18.4447,-49.2134,497.63776,2014-02-04 00:00,2014-02-14 00:00,BR__ASOS
SBIZ,Imperatriz,-5.5333,-47.5,123,1977-05-31 00:00,,BR__ASOS
SBJD,Jundiai,-23.1817,-46.9436,754.69037,2012-07-09 00:00,2015-11-12 00:00,BR__ASOS
SBJE,Jericoacoara,-2.9067,-40.3581,25.93841,2018-01-20 00:00,,BR__ASOS
SBJF,Juiz De Fora,-21.7697,-43.3642,939,1931-01-01 00:00,2017-08-07 00:00,BR__ASOS
SBJP,Joao Pessoa,-7.1,-34.8667,7,2003-02-14 00:00,,BR__ASOS
SBJR,Rio de Janeiro,-22.9875,-43.37,3,2001-07-21 00:00,,BR__ASOS
SBJU,Juazeiro Do Norte,-7.219,-39.2701,409,2011-08-22 00:00,,BR__ASOS
SBJV,Joinville,-26.2244,-48.7974,4,2006-06-25 00:00,,BR__ASOS
SBKG,Campina Grande,-7.2167,-35.8833,560,1931-01-08 00:00,,BR__ASOS
SBKP,Campinas,-23.0074,-47.1345,661,1951-01-20 00:00,,BR__ASOS
SBLB,ALBACORA P25 OIL PLATFORM,-22.1094,-39.9169,10,2011-08-22 00:00,,BR__ASOS
SBLE,Lençóis,-12.4823,-41.277,511,2010-11-08 00:00,,BR__ASOS
SBLN,Lins,-21.6655,-49.7344,426,2011-08-22 00:00,2012-01-20 00:00,BR__ASOS
SBLO,Londrina,-23.3333,-51.1333,570.2842,1972-12-31 00:00,,BR__ASOS
SBLP,Bom Jesus Da Lapa,-13.2621,-43.4081,440,1973-01-01 00:00,2021-01-18 00:00,BR__ASOS
SBLS,Lagoa Santa,-19.6616,-43.8964,852,1973-01-01 00:00,,BR__ASOS
SBMA,Maraba,-5.35,-49.15,102,1973-01-01 00:00,,BR__ASOS
SBMD,Almeirim,-0.8898,-52.6022,206,1987-06-29 00:00,2020-02-14 00:00,BR__ASOS
SBME,Macaé,-22.3764,-41.8122,2,2003-02-14 00:00,,BR__ASOS
SBMG,Maringa,-23.4167,-51.95,542,1989-11-17 00:00,,BR__ASOS
SBMK,Montes Claros,-16.7167,-43.8667,646,1936-08-24 00:00,,BR__ASOS
SBML,Marília,-22.1969,-49.9264,647,2007-10-16 00:00,,BR__ASOS
SBMN,Manaus,-3.146,-59.9863,84,1972-12-31 00:00,,BR__ASOS
SBMO,Maceio,-9.5108,-35.7917,115,1972-12-31 00:00,,BR__ASOS
SBMQ,Macapa,0.0333,-51.05,15,1973-01-01 00:00,,BR__ASOS
SBMS,Mocord,-5.2019,-37.3644,18,1973-01-01 00:00,,BR__ASOS
SBMT,Sao Paulo,-23.5091,-46.6378,722,1973-01-01 00:00,,BR__ASOS
SBMY,Manicore,-5.8167,-61.3,49,1974-02-15 00:00,2023-11-08 00:00,BR__ASOS
SBMZ,PORTO DE MOZ,-1.7392,-52.245,17,1973-01-01 00:00,2012-01-20 00:00,BR__ASOS
SBNF,Navegantes,-26.88,-48.6514,5,2005-05-02 00:00,,BR__ASOS
SBNM,Santo Angelo,-28.2817,-54.1691,322,2007-10-16 00:00,,BR__ASOS
SBNT,Natal,-5.9114,-35.2477,49,1943-07-31 00:00,,BR__ASOS
SBOI,Oioiapoque,3.8333,-51.8333,39,1938-06-03 00:00,,BR__ASOS
SBPA,Porto Alegre,-29.9944,-51.1714,3,1972-12-31 00:00,,BR__ASOS
SBPB,Parnaiba,-2.9167,-41.75,5,1943-05-12 00:00,,BR__ASOS
SBPC,Pocos De Caldas,-21.843,-46.5679,1260,2001-07-21 00:00,2022-01-31 00:00,BR__ASOS
SBPF,Passo Fundo,-28.25,-52.4,684,1936-08-24 00:00,,BR__ASOS
SBPG,PARANAGUA,-25.5167,-48.5167,4,1931-01-01 00:00,,BR__ASOS
SBPJ,Palmas,-10.2915,-48.357,236,2003-09-28 00:00,,BR__ASOS
SBPK,Pelotas,-31.7833,-52.4167,13,1972-12-31 00:00,,BR__ASOS
SBPL,Petrolina,-9.35,-40.55,375,1943-04-01 00:00,,BR__ASOS
SBPN,Porto Nacional,-10.7,-48.4,265,1973-01-01 00:00,2015-11-11 00:00,BR__ASOS
SBPP,Ponta Pora,-22.55,-55.7,660,1973-01-01 00:00,,BR__ASOS
SBPR,CARLOS PRATES,-19.9092,-43.9908,927,2007-07-17 00:00,2023-04-04 00:00,BR__ASOS
SBPS,Porto Seguro,-16.4386,-39.0809,51,2001-07-21 00:00,,BR__ASOS
SBPV,Porto Velho,-8.7667,-63.9167,88,1982-11-01 00:00,,BR__ASOS
SBQV,Vitória Da Conquista,-14.95,-40.8833,893,1974-06-23 00:00,2019-07-24 00:00,BR__ASOS
SBRB,Rio Branco,-10,-67.8,143,1983-07-02 00:00,,BR__ASOS
SBRF,Recife,-8.126,-34.9233,14,1931-01-04 00:00,,BR__ASOS
SBRG,RIO GRANDE,-32.0167,-52.0833,8,2011-08-22 00:00,2012-01-20 00:00,BR__ASOS
SBRJ,Rio De Janeiro,-22.9105,-43.1631,3,1938-09-13 00:00,,BR__ASOS
SBRP,Ribeirao Preto,-21.1342,-47.7742,549,2003-02-12 00:00,,BR__ASOS
SBRQ,SAO ROQUE/S. PAU,-23.5167,-47.1167,750,2011-08-22 00:00,2012-01-20 00:00,BR__ASOS
SBRS,RESENDE,-22.4833,-44.4667,439,1931-01-01 00:00,2012-01-20 00:00,BR__ASOS
SBSA,SAO CARLOS,-22.0167,-47.8833,856,1931-01-01 00:00,2012-01-20 00:00,BR__ASOS
SBSC,Rio De Janeiro,-22.9324,-43.7191,3,1972-12-31 00:00,,BR__ASOS
SBSG,Natal,-5.7689,-35.3664,85.31218,2014-07-19 00:00,,BR__ASOS
SBSJ,Sao Jose Dos Campos,-23.2292,-45.8615,646,1972-12-31 00:00,,BR__ASOS
SBSL,Sao Luis,-2.5854,-44.2341,53,1943-04-30 00:00,,BR__ASOS
SBSM,Santa Maria,-29.7114,-53.6882,85,1936-08-29 00:00,,BR__ASOS
SBSN,Santarem,-2.4333,-54.7167,72,1972-12-31 00:00,,BR__ASOS
SBSP,Sao Paulo,-23.6267,-46.6554,803,1931-01-01 00:00,,BR__ASOS
SBSR,Sao Jose Do Rio Preto,-20.8166,-49.4065,543,2003-02-20 00:00,,BR__ASOS
SBST,Santos,-23.9252,-46.2875,3,1972-12-31 00:00,,BR__ASOS
SBSV,Salvador,-12.911,-38.331,6,1943-08-08 00:00,,BR__ASOS
SBSY,SANTA ISABEL MOR,-11.57,-50.67,197,2011-08-22 00:00,2020-11-06 00:00,BR__ASOS
SBTA,Taubaté,-23.0167,-45.5667,586,1936-08-24 00:00,,BR__ASOS
SBTC,Una,-15.35,-38.98,6,1973-01-01 00:00,,BR__ASOS
SBTE,Teresina,-5.0599,-42.8235,69,1931-01-04 00:00,,BR__ASOS
SBTF,Tefe,-3.3667,-64.7,47,1973-01-01 00:00,,BR__ASOS
SBTK,Tarauaca,-8.1553,-70.7833,188,2003-04-06 00:00,2021-10-08 00:00,BR__ASOS
SBTT,Tabatinga,-3.6667,-69.6667,85,1979-06-06 00:00,,BR__ASOS
SBTU,Tucurui,-3.7167,-49.7167,40,1986-10-04 00:00,,BR__ASOS
SBUA,Sao Gabriel,-0.1333,-67.0833,79,2004-12-31 00:00,,BR__ASOS
SBUF,Paulo Alfonso,-9.4,-38.2167,252,1973-04-30 00:00,,BR__ASOS
SBUG,Uruguaiana,-29.7822,-57.0382,74,1931-01-02 00:00,,BR__ASOS
SBUI,CARAUARI,-4.95,-66.9,81,1973-01-01 00:00,2012-01-20 00:00,BR__ASOS
SBUL,Uberlandia,-18.8828,-48.2256,922,2003-02-06 00:00,,BR__ASOS
SBUP,URUBUPUNGA,-20.8,-51.5667,356,1973-01-01 00:00,2012-01-20 00:00,BR__ASOS
SBUR,Uberaba,-19.7833,-47.9667,807,1973-01-01 00:00,,BR__ASOS
SBUY,Coari,-4.8833,-65.3563,80.77997,2013-01-08 00:00,,BR__ASOS
SBVH,Vilhena,-12.6944,-60.0983,652,1973-01-01 00:00,,BR__ASOS
SBVT,Vitoria,-20.2581,-40.2864,4,1972-12-31 00:00,,BR__ASOS
SBXG,Rio Xingu Military,-12,-53.4,300,2011-08-25 00:00,2012-01-20 00:00,BR__ASOS
SBXV,NOVA XAVANTINA,-14.7,-52.35,315,1973-01-01 00:00,2012-01-20 00:00,BR__ASOS
SBYA,Iauarete,0.6075,-69.1858,105,1973-01-01 00:00,2015-11-06 00:00,BR__ASOS
SBYS,Piracununga,-21.9846,-47.3348,598,1972-12-31 00:00,,BR__ASOS